product_id,brand,product_name,fit_type,rise_type,price,mrp,discount_percent,rating,review_count
JN23730,LINARIA,Men Cotton Straight Fit Jeans,Straight Fit,Not Specified,420.0,1299.0,67.67,4.3,264.0
JN23731,LINARIA,Men Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.3,264.0
JN23737,LINARIA,Men Mid-Rise Jeans,Other/Unspecified,Mid-Rise,420.0,1299.0,67.67,4.2,130.0
JN23739,LINARIA,Men Classic Regular Fit Jeans,Regular Fit,Not Specified,420.0,1299.0,67.67,4.2,130.0
JN23740,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,420.0,1299.0,67.67,4.2,130.0
JN23742,LINARIA,Men Straight Fit Jeans,Straight Fit,Not Specified,418.0,1299.0,67.82,3.9,31.0
JN23745,LINARIA,Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,418.0,1299.0,67.82,3.9,31.0
JN23746,LINARIA,Tapered Fit Slash Knee Jeans,Tapered Fit,Not Specified,378.0,1299.0,70.9,3.9,31.0
JN23748,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,418.0,1299.0,67.82,4.1,25.0
JN23753,LINARIA,Men Mid-Rise Slim Fit Jeans,Slim Fit,Mid-Rise,419.0,1299.0,67.74,4.6,5.0
JN23754,LINARIA,Men Regular Fit Mid Rise Jeans,Regular Fit,Mid-Rise,419.0,1299.0,67.74,4.6,5.0
JN23756,LINARIA,Mid-Rise Cargo Styles Jeans,Other/Unspecified,Mid-Rise,419.0,1299.0,67.74,4.6,5.0
JN23759,LINARIA,Men Mid-Rise Jeans,Other/Unspecified,Mid-Rise,419.0,1299.0,67.74,3.1,35.0
JN23760,LINARIA,Men Straight Fit Jeans,Straight Fit,Not Specified,419.0,1299.0,67.74,3.1,35.0
JN23762,LINARIA,Mid-Rise Straight Fit Jeans,Straight Fit,Mid-Rise,419.0,1299.0,67.74,4.2,42.0
JN23763,LINARIA,Men Regular Fit Cotton Jeans,Regular Fit,Not Specified,419.0,1299.0,67.74,4.2,42.0
JN23765,LINARIA,Men Slim Fit Jeans,Slim Fit,Not Specified,378.0,1299.0,70.9,4.2,42.0
JN23766,LINARIA,Men Mid-Rise Cotton Jeans,Other/Unspecified,Mid-Rise,420.0,1299.0,67.67,4.2,42.0
JN23771,LINARIA,Men Cotton Styles Jeans Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.0,63.0
JN23772,LINARIA,Men Mid-Rise Cotton Jeans,Other/Unspecified,Mid-Rise,420.0,1299.0,67.67,4.0,63.0
JN23774,LINARIA,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,420.0,1299.0,67.67,4.3,264.0
JN23775,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.3,264.0
JN23778,LINARIA,Men  Low Distress Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.3,264.0
JN23780,LINARIA,Mid-Rise Straight Fit,Straight Fit,Mid-Rise,420.0,1299.0,67.67,4.3,264.0
JN23784,LINARIA,Men Cotton Cargo Styles Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.2,130.0
JN23786,LINARIA,Slim Fit Cargo Styles  Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,4.2,130.0
JN23787,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,378.0,1299.0,70.9,4.2,130.0
JN23789,LINARIA,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,378.0,1299.0,70.9,4.2,130.0
JN23790,LINARIA,Cotton Cargo Styles Jeans,Other/Unspecified,Not Specified,420.0,1299.0,67.67,4.2,130.0
JN23792,LINARIA,Men Cotton Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,3.9,31.0
JN23793,LINARIA,Men Slim Fit Cotton Jeans,Slim Fit,Not Specified,420.0,1299.0,67.67,3.9,31.0
JN23798,LINARIA,Men Skinny Fit Jeans,Skinny Fit,Not Specified,419.0,1299.0,67.74,4.1,25.0
JN23799,LINARIA,Relaxed Fit Slash Knee Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.1,25.0
JN23803,LINARIA,Mid-Rise Slim Fit Jeans,Slim Fit,Mid-Rise,420.0,1299.0,67.67,4.6,5.0
JN23806,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.6,5.0
JN23810,LINARIA,Men Tapered Fit Cotton Jeans,Tapered Fit,Not Specified,379.0,1299.0,70.82,3.1,35.0
JN23812,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.2,42.0
JN23813,LINARIA,Men Mid-Rise Jeans,Other/Unspecified,Mid-Rise,379.0,1299.0,70.82,4.2,42.0
JN23816,LINARIA,Men Cotton Slim Fit Jeans,Slim Fit,Not Specified,379.0,1299.0,70.82,4.2,42.0
JN23818,LINARIA,Men Cotton Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.0,63.0
JN23819,LINARIA,Men Slash Knee Jeans,Other/Unspecified,Not Specified,379.0,1299.0,70.82,4.0,63.0
JN23821,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.0,63.0
JN23822,LINARIA,Men Tapered Fit Cotton Jeans,Tapered Fit,Not Specified,379.0,1299.0,70.82,4.0,63.0
JN23824,LINARIA,Men Tapered Fit Jeans,Tapered Fit,Not Specified,379.0,1299.0,70.82,4.3,264.0
JN23827,LINARIA,Men Tapered Fit Mid-Rise Jeans,Tapered Fit,Mid-Rise,419.0,1299.0,67.74,4.3,264.0
JN23828,LINARIA,Slim Fit Slash Knee Jeans,Slim Fit,Not Specified,379.0,1299.0,70.82,4.3,264.0
JN23831,LINARIA,Men Relaxed Fit Jeans,Relaxed Fit,Not Specified,469.0,1299.0,63.9,4.3,264.0
JN23833,LINARIA,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,379.0,1299.0,70.82,4.2,130.0
JN23834,LINARIA,Men Slash Knee Jeans,Other/Unspecified,Not Specified,379.0,1299.0,70.82,4.2,130.0
JN23838,United Colors of Benetton,Men Slim Fit Mid-Rise Jeans,Slim Fit,Mid-Rise,469.0,1299.0,63.9,4.2,130.0
JN23840,LINARIA,Men Regular Fit Mid-Rise Jeans,Regular Fit,Mid-Rise,419.0,1299.0,67.74,4.2,130.0
JN23843,LINARIA,Men Cotton Tapered Fit Jeans,Tapered Fit,Not Specified,419.0,1299.0,67.74,3.9,31.0
